Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide
ALDINO ,1268,1061,23,41
ANDRIANO ,772,674,17,25
ANTERIVO ,312,268,4,14
APPIANO SULLA STRADA DEL VINO ,10589,8920,115,314
AVELENGO ,549,456,17,24
BADIA ,2550,2139,37,90
BARBIANO ,1224,1034,31,49
BOLZANO ,75550,61278,488,2064
BRAIES ,513,410,9,9
BRENNERO ,1509,1218,27,41
BRESSANONE ,15254,12448,175,356
BRONZOLO ,1993,1709,15,66
BRUNICO ,11536,9311,191,326
CAINES ,294,256,4,5
CALDARO SULLA STRADA DEL VINO ,5765,4818,100,185
CAMPO DI TRENS ,1976,1680,27,43
CAMPO TURES ,3990,3353,97,145
CASTELBELLO-CIARDES ,1856,1494,59,82
CASTELROTTO ,4827,3951,97,145
CERMES ,1093,929,14,23
CHIENES ,2111,1774,35,50
CHIUSA ,3814,3339,85,126
CORNEDO ALL'ISARCO ,2495,2095,31,62
CORTACCIA SULLA STRADA DEL VINO ,1674,1442,21,59
CORTINA SULLA STRADA DEL VINO ,488,435,8,21
CORVARA IN BADIA ,1090,914,21,46
CURON VENOSTA ,1845,1467,24,36
DOBBIACO ,2544,2103,43,72
EGNA ,3709,3133,50,142
FALZES ,2048,1717,47,66
FIE' ALLO SCILIAR ,2481,2052,44,65
FORTEZZA ,640,528,8,22
FUNES ,1894,1627,25,40
GAIS ,2425,2063,60,86
GARGAZZONE ,1273,1057,15,41
GLORENZA ,694,575,14,19
LA VALLE ,998,856,26,44
LACES ,3850,3117,80,123
LAGUNDO ,3746,3059,56,97
LAION ,1888,1615,50,73
LAIVES ,12870,10538,84,471
LANA ,8385,6913,150,242
LASA ,2978,2452,53,94
LAUREGNO ,256,189,18,21
LUSON ,1114,936,20,24
MAGRE' SULLA STRADA DEL VINO ,912,789,9,28
MALLES VENOSTA ,3858,3094,79,111
MAREBBE ,2194,1813,54,74
MARLENGO ,1944,1625,38,55
MARTELLO ,678,555,14,24
MELTINA ,1201,1029,29,42
MERANO ,27585,21186,280,745
MONGUELFO-TESIDO ,2051,1687,67,82
MONTAGNA ,1261,1109,26,52
MOSO IN PASSIRIA ,1613,1306,37,53
NALLES ,1397,1162,21,38
NATURNO ,4222,3387,108,157
NAZ-SCIAVES ,2100,1816,23,36
NOVA LEVANTE ,1446,1176,18,36
NOVA PONENTE ,2881,2400,47,74
ORA ,2657,2225,32,74
ORTISEI ,3449,2863,60,106
PARCINES ,2783,2288,51,89
PERCA ,1144,993,24,28
PLAUS ,483,392,9,15
PONTE GARDENA ,128,111,3,5
POSTAL ,1362,1147,9,32
PRATO ALLO STELVIO ,2560,2063,41,62
PREDOI ,470,387,18,26
PROVES ,207,176,6,10
RACINES ,3322,2735,65,81
RASUN ANTERSELVA ,2142,1787,40,54
RENON ,5635,4682,95,153
RIFIANO ,1031,873,27,33
RIO DI PUSTERIA ,2105,1748,50,67
RODENGO ,905,805,11,20
SALORNO ,2351,1933,21,67
SAN CANDIDO ,2532,2004,45,66
SAN GENESIO ATESINO ,2260,1966,42,65
SAN LEONARDO IN PASSIRIA ,2749,2208,49,74
SAN LORENZO DI SEBATO ,2825,2379,66,84
SAN MARTINO IN BADIA ,1333,1131,27,47
SAN MARTINO IN PASSIRIA ,2393,1913,64,80
SAN PANCRAZIO ,1218,1011,39,48
SANTA CRISTINA VALGARDENA ,1419,1177,35,49
SARENTINO ,5316,4490,113,169
SCENA ,2151,1781,49,74
SELVA DEI MOLINI ,1110,924,32,43
SELVA DI VAL GARDENA ,2004,1610,36,62
SENALES ,1028,868,17,21
SENALE-SAN FELICE ,608,517,11,19
SESTO ,1470,1153,23,33
SILANDRO ,4485,3712,83,145
SLUDERNO ,1420,1118,15,27
STELVIO ,917,678,16,21
TERENTO ,1298,1082,40,50
TERLANO ,3113,2652,38,82
TERMENO SULLA STRADA DEL VINO ,2504,2163,49,87
TESIMO ,1469,1225,36,50
TIRES ,715,622,11,17
TIROLO ,1879,1531,30,47
TRODENA NEL PARCO NATURALE ,775,631,12,34
TUBRE ,758,592,11,16
ULTIMO ,2316,1840,67,84
VADENA ,740,628,9,23
VAL DI VIZZE ,2133,1758,39,62
VALDAORA ,2347,1978,50,69
VALLE AURINA ,4474,3741,140,179
VALLE DI CASIES ,1697,1492,40,58
VANDOIES ,2477,2072,57,79
VARNA ,3106,2638,34,65
VELTURNO ,2035,1755,35,50
VERANO ,713,599,8,13
VILLABASSA ,1086,854,16,26
VILLANDRO ,1448,1231,42,60
VIPITENO ,4994,3895,87,183
ALA ,6194,5154,28,168
ALBIANO ,1087,902,7,40
ALDENO ,2307,1938,16,50
AMBLAR ,200,141,3,6
ANDALO ,824,595,7,43
ARCO ,12788,10538,60,303
AVIO ,3071,2539,30,135
BASELGA DI PINE' ,3818,3015,20,107
BEDOLLO ,1205,942,7,47
BERSONE ,240,208,2,5
BESENELLO ,1949,1651,10,63
BIENO ,343,241,1,11
BLEGGIO SUPERIORE ,1234,928,8,28
BOCENAGO ,325,269,4,10
BOLBENO ,279,221,0,4
BONDO ,549,462,12,23
BONDONE ,549,417,8,29
BORGO VALSUGANA ,5217,4120,35,156
BOSENTINO ,636,547,0,12
BREGUZZO ,450,384,7,14
BRENTONICO ,3054,2402,20,81
BRESIMO ,217,166,6,16
BREZ ,550,445,7,26
BRIONE ,113,101,2,5
CADERZONE TERME ,494,394,3,22
CAGNO' ,277,231,6,17
CALAVINO ,1050,888,11,41
CALCERANICA AL LAGO ,1046,811,5,31
CALDES ,823,670,7,37
CALDONAZZO ,2654,2157,11,76
CALLIANO ,1201,1004,6,34
CAMPITELLO DI FASSA ,581,457,14,30
CAMPODENNO ,1184,997,20,52
CANAL SAN BOVO ,1304,920,16,60
CANAZEI ,1480,1162,10,66
CAPRIANA ,460,356,8,36
CARANO ,814,598,12,36
CARISOLO ,725,560,7,27
CARZANO ,423,342,8,21
CASTEL CONDINO ,180,151,1,5
CASTELFONDO ,468,376,8,33
CASTELLO TESINO ,1103,827,9,36
CASTELLO-MOLINA DI FIEMME ,1751,1261,14,68
CASTELNUOVO ,794,621,6,26
CAVALESE ,2997,2188,23,108
CAVARENO ,731,573,4,42
CAVEDAGO ,429,330,5,23
CAVEDINE ,2291,1890,12,71
CAVIZZANA ,199,171,4,15
CEMBRA ,1316,1085,10,69
CENTA SAN NICOLO' ,496,380,2,10
CIMEGO ,328,257,4,13
