Collegio,Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide
BOLZANO,ALDINO/ALDEIN ,1268,907,83,125
BOLZANO,ANTERIVO/ALTREI ,309,237,27,41
BOLZANO,APPIANO SULLA STRADA DEL VINO/EPPAN AN DER WEINSTRASSE ,10983,7810,333,690
BOLZANO,BOLZANO/BOZEN ,76642,56910,812,2138
BOLZANO,BRONZOLO/BRANZOLL ,2092,1710,34,87
BOLZANO,CALDARO SULLA STRADA DEL VINO/KALTERN AN DER WEINSTRASSE ,5935,4154,230,476
BOLZANO,CORNEDO ALL'ISARCO/KARNEID ,2542,1825,88,167
BOLZANO,CORTACCIA SULLA STRADA DEL VINO/KURTATSCH AN DER WEINSTRASSE ,1722,1300,97,175
BOLZANO,CORTINA SULLA STRADA DEL VINO/KURTINIG AN DER WEINSTRASSE ,503,415,22,41
BOLZANO,EGNA/NEUMARKT ,3875,2943,99,226
BOLZANO,LAIVES/LEIFERS ,13422,10514,151,450
BOLZANO,MAGRE' SULLA STRADA DEL VINO/MARGREID AN DER WEINSTRASSE ,907,694,51,84
BOLZANO,MONTAGNA/MONTAN ,1325,1002,70,203
BOLZANO,ORA/AUER ,2797,2106,85,232
BOLZANO,SALORNO/SALURN ,2470,1930,34,130
BOLZANO,TERMENO SULLA STRADA DEL VINO/TRAMIN AN DER WEINSTRASSE ,2582,1845,251,429
BOLZANO,TRODENA NEL PARCO NATURALE/TRUDEN IM NATURPARK ,777,543,27,57
BOLZANO,VADENA/PFATTEN ,765,601,10,34
MERANO,ANDRIANO/ANDRIAN ,774,559,38,50
MERANO,AVELENGO/HAFLING ,590,401,38,41
MERANO,CAINES/KUENS ,305,218,19,19
MERANO,CASTELBELLO-CIARDES/KASTELBELL-TSCHARS ,1797,1144,101,143
MERANO,CERMES/TSCHERMS ,1143,811,49,73
MERANO,CURON VENOSTA/GRAUN IM VINSCHGAU ,1829,1058,62,88
MERANO,GARGAZZONE/GARGAZON ,1299,947,43,60
MERANO,GLORENZA/GLURNS ,703,450,31,38
MERANO,LACES/LATSCH ,3916,2336,205,281
MERANO,LAGUNDO/ALGUND ,3778,2604,128,274
MERANO,LANA/LANA ,8935,5891,346,549
MERANO,LASA/LAAS ,3010,1842,173,224
MERANO,LAUREGNO/LAUREIN ,263,177,29,51
MERANO,MALLES VENOSTA/MALS ,3929,2253,162,234
MERANO,MARLENGO/MARLING ,2039,1348,87,129
MERANO,MARTELLO/MARTELL ,666,411,42,77
MERANO,MELTINA/MELTEN ,1249,889,68,121
MERANO,MERANO/MERAN ,28198,19207,437,827
MERANO,MOSO IN PASSIRIA/MOOS IN PASSEIER ,1571,1027,101,171
MERANO,NALLES/NALS ,1504,1027,60,102
MERANO,NATURNO/NATURNS ,4350,2636,238,388
MERANO,PARCINES/PARTSCHINS ,2862,1795,178,244
MERANO,PLAUS/PLAUS ,525,334,30,78
MERANO,POSTAL/BURGSTALL ,1427,1010,57,81
MERANO,PRATO ALLO STELVIO/PRAD AM STILFSER JOCH ,2697,1582,109,158
MERANO,PROVES/PROVEIS ,210,161,14,27
MERANO,RIFIANO/RIFFIAN ,1024,681,61,78
MERANO,SAN GENESIO ATESINO/JENESIEN ,2352,1714,114,152
MERANO,SAN LEONARDO IN PASSIRIA/ST. LEONHARD IN PASSEIER ,2770,1723,184,244
MERANO,SAN MARTINO IN PASSIRIA/ST. MARTIN IN PASSEIER ,2450,1485,214,258
MERANO,SAN PANCRAZIO/ST. PANKRAZ ,1232,766,120,145
MERANO,SARENTINO/SARNTAL ,5453,3583,281,488
MERANO,SCENA/SCHENNA ,2182,1426,160,239
