long;lat;Comune
11.00475333;45.75676703;ALA
11.19376768;46.14520833;ALBIANO
11.09131825;45.97728775;ALDENO
11.35402888;46.36783596;ALDINO
11.2383;46.1822;ALTAVALLE
11.1997;46.0065;ALTOPIANO DELLA VIGOLANA
11.1375;46.3902;AMBLAR-DON
11.00328730;46.16487823;ANDALO
11.23293128;46.52023315;ANDRIANO
11.36675092;46.27749460;ANTERIVO
11.25885656;46.45527585;APPIANO SULLA STRADA DEL VINO
10.88619330;45.91928662;ARCO
11.22475188;46.64671212;AVELENGO
10.94154266;45.73545329;AVIO
11.89342082;46.61067544;BADIA
11.51987095;46.60364899;BARBIANO
11.24452690;46.12998915;BASELGA DI PINE'
11.30321802;46.16142431;BEDOLLO
11.10618753;45.94568733;BESENELLO
11.55368850;46.08024712;BIENO
10.83705955;46.02532750;BLEGGIO SUPERIORE
10.75908629;46.11843068;BOCENAGO
11.35662422;46.49933453;BOLZANO
10.55125567;45.80542077;BONDONE
10.6013;45.8906;BORGO CHIESE
10.7521;46.0352;BORGO LARES
11.45648568;46.05304141;BORGO VALSUGANA
12.13256950;46.71973406;BRAIES
11.44322879;46.93771816;BRENNERO
10.95493373;45.81886908;BRENTONICO
10.96861301;46.41044397;BRESIMO
11.65699492;46.71643929;BRESSANONE
11.10727867;46.43104038;BREZ
11.31989385;46.40460343;BRONZOLO
11.93729840;46.79738401;BRUNICO
10.75692332;46.12941256;CADERZONE TERME
11.04211957;46.39464733;CAGNO'
11.17529930;46.69651650;CAINES
11.24237540;46.00375375;CALCERANICA AL LAGO
11.24515892;46.41317465;CALDARO SULLA STRADA DEL VINO
10.94281250;46.36513314;CALDES
11.26184714;45.99140479;CALDONAZZO
11.09432828;45.93427130;CALLIANO
11.74009284;46.47574796;CAMPITELLO DI FASSA
11.48395496;46.87111849;CAMPO DI TRENS
11.95188039;46.91992376;CAMPO TURES
11.03336746;46.25731146;CAMPODENNO
11.73137986;46.15631465;CANAL SAN BOVO
11.77129957;46.47683463;CANAZEI
11.33917050;46.26297128;CAPRIANA
11.44005630;46.29230220;CARANO
10.76386451;46.16904792;CARISOLO
11.49362910;46.07087639;CARZANO
10.60283973;45.91521143;CASTEL CONDINO
11.5211;46.0683;CASTEL IVANO
10.90114298;46.62831219;CASTELBELLO-CIARDES
11.11655375;46.45597424;CASTELFONDO
11.63370534;46.06241572;CASTELLO TESINO
11.43470654;46.28124969;CASTELLO-MOLINA DI FIEMME
11.49419964;46.05226247;CASTELNUOVO
11.55946126;46.56780623;CASTELROTTO
11.46043364;46.29129819;CAVALESE
11.13660275;46.40791510;CAVARENO
11.02805643;46.18352917;CAVEDAGO
10.97082265;45.99391529;CAVEDINE
10.95837224;46.36818861;CAVIZZANA
11.2218;46.1746;CEMBRA LISIGNAGO
11.14503298;46.63279289;CERMES
